review_record_id,candidate_record_id,mapping_id,batch_id,review_bucket,source_absolute_path,exact_target_parent,exact_target_path,source_exists,source_readable,hash_match,authority_resolved,classification_resolved,target_parent_exists,target_parent_compatible,target_absent,rollback_complete,no_chachipti_dependency,eligibility_status,blocking_reason
REV-001A-0038,CAND-02G-0038,MAP02C-0038,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\SHA256SUMS.txt,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\SHA256SUMS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0039,CAND-02G-0039,MAP02C-0039,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0040,CAND-02G-0040,MAP02C-0040,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_ENGINE_CONTRACTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_ENGINE_CONTRACTS.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0041,CAND-02G-0041,MAP02C-0041,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_MASTER_HANDOFF.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CHACHIPTI_MASTER_HANDOFF.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0042,CAND-02G-0042,MAP02C-0042,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CURSOR_PACKET_EMIT_SPEC.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_CURSOR_PACKET_EMIT_SPEC.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0043,CAND-02G-0043,MAP02C-0043,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_SERIES_STATUS_MAP.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CL_SERIES_STATUS_MAP.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0044,CAND-02G-0044,MAP02C-0044,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CORRECTIVE_INTAKES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CORRECTIVE_INTAKES\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0045,CAND-02G-0045,MAP02C-0045,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CURSOR_PACKETS,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\CURSOR_PACKETS\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0046,CAND-02G-0046,MAP02C-0046,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\QUICKSTART.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\QUICKSTART.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0047,CAND-02G-0047,MAP02C-0047,CL-MIG-001A,EXCLUDED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\80_QUARANTINE\chachipti_pending_classification\README.md,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,BLOCKED_CLASSIFICATION,Nine Chachipti records remain unclassified and blocked (RAT-CL-008)
REV-001A-0048,CAND-02G-0050,MAP02C-0050,CL-MIG-001A,DEFERRED_REGISTRY_AUTHORITY,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_RELEASE_PROFILE_REGISTRY.md,NO,NO,N/A_NO_SOURCE,NO,YES,NO,N/A,YES,NO,YES,BLOCKED_AUTHORITY,Five authority-deferred registry records remain blocked (RAT-CL-007)
REV-001A-0049,CAND-02G-0051,MAP02C-0051,CL-MIG-001A,DEFERRED_REGISTRY_AUTHORITY,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_ROOT_STATUS_RECORD.md,NO,NO,N/A_NO_SOURCE,NO,YES,NO,N/A,YES,NO,YES,BLOCKED_AUTHORITY,Five authority-deferred registry records remain blocked (RAT-CL-007)
REV-001A-0050,CAND-02G-0052,MAP02C-0052,CL-MIG-001A,DEFERRED_REGISTRY_AUTHORITY,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_MIRROR_DUPLICATE_DOCTRINE.md,NO,NO,N/A_NO_SOURCE,NO,YES,NO,N/A,YES,NO,YES,BLOCKED_AUTHORITY,Five authority-deferred registry records remain blocked (RAT-CL-007)
REV-001A-0051,CAND-02G-0053,MAP02C-0053,CL-MIG-001A,DEFERRED_REGISTRY_AUTHORITY,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_LANGUAGE.md,NO,NO,N/A_NO_SOURCE,NO,YES,NO,N/A,YES,NO,YES,BLOCKED_AUTHORITY,Five authority-deferred registry records remain blocked (RAT-CL-007)
REV-001A-0052,CAND-02G-0054,MAP02C-0054,CL-MIG-001A,DEFERRED_REGISTRY_AUTHORITY,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\02_PROGRAM_REGISTRIES\CL_PROGRAM_COLLECTION_STATE_MAP.json,NO,NO,N/A_NO_SOURCE,NO,YES,NO,N/A,YES,NO,YES,BLOCKED_AUTHORITY,Five authority-deferred registry records remain blocked (RAT-CL-007)
